accept%!(EXTRA int=0, uint64=43)
accept$alg%!(EXTRA int=1, uint64=43)
accept$ax25%!(EXTRA int=2, uint64=43)
accept$inet%!(EXTRA int=3, uint64=43)
accept$inet6%!(EXTRA int=4, uint64=43)
accept$netrom%!(EXTRA int=5, uint64=43)
accept$nfc_llcp%!(EXTRA int=6, uint64=43)
accept$packet%!(EXTRA int=7, uint64=43)
accept$phonet_pipe%!(EXTRA int=8, uint64=43)
accept$unix%!(EXTRA int=9, uint64=43)
accept4%!(EXTRA int=10, uint64=288)
accept4$alg%!(EXTRA int=11, uint64=288)
accept4$ax25%!(EXTRA int=12, uint64=288)
accept4$bt_l2cap%!(EXTRA int=13, uint64=288)
accept4$inet%!(EXTRA int=14, uint64=288)
accept4$inet6%!(EXTRA int=15, uint64=288)
accept4$llc%!(EXTRA int=16, uint64=288)
accept4$netrom%!(EXTRA int=17, uint64=288)
accept4$nfc_llcp%!(EXTRA int=18, uint64=288)
accept4$packet%!(EXTRA int=19, uint64=288)
accept4$phonet_pipe%!(EXTRA int=20, uint64=288)
accept4$rose%!(EXTRA int=21, uint64=288)
accept4$tipc%!(EXTRA int=22, uint64=288)
accept4$unix%!(EXTRA int=23, uint64=288)
accept4$vsock_stream%!(EXTRA int=24, uint64=288)
accept4$x25%!(EXTRA int=25, uint64=288)
acct%!(EXTRA int=26, uint64=163)
add_key%!(EXTRA int=27, uint64=248)
add_key$fscrypt_provisioning%!(EXTRA int=28, uint64=248)
add_key$fscrypt_v1%!(EXTRA int=29, uint64=248)
add_key$keyring%!(EXTRA int=30, uint64=248)
add_key$user%!(EXTRA int=31, uint64=248)
alarm%!(EXTRA int=32, uint64=37)
arch_prctl$ARCH_ENABLE_TAGGED_ADDR%!(EXTRA int=33, uint64=158)
arch_prctl$ARCH_FORCE_TAGGED_SVA%!(EXTRA int=34, uint64=158)
arch_prctl$ARCH_GET_CPUID%!(EXTRA int=35, uint64=158)
arch_prctl$ARCH_GET_FS%!(EXTRA int=36, uint64=158)
arch_prctl$ARCH_GET_GS%!(EXTRA int=37, uint64=158)
arch_prctl$ARCH_GET_MAX_TAG_BITS%!(EXTRA int=38, uint64=158)
arch_prctl$ARCH_GET_UNTAG_MASK%!(EXTRA int=39, uint64=158)
arch_prctl$ARCH_GET_XCOMP_GUEST_PERM%!(EXTRA int=40, uint64=158)
arch_prctl$ARCH_GET_XCOMP_PERM%!(EXTRA int=41, uint64=158)
